titulo,tipo,dormitorios,baños,garajes,m2,zona,precio
Casa En Venta De 1 Planta En Avenida Paragua,Casas,5,3,1,300,Norte,115.000
Sector De Alta Plus Valia Parque Urbano Centro 1er Anillio,Casas,5,3,3,220,Centro,347.000
Departamento De Lujo En Equipetrol Norte,Departamentos,3,3,2,175,Norte / Equipetrol,240.000
Amplio Departamento En Venta,Departamentos,3,3,1,201,Oeste / Urbari,185.000
Condominio Taruma Tower Credito Directo 1 Dormitorio,Departamentos,1,1,1,395,Norte,43.450
"Dpto En Preventa, Financiamiento Directo 100% Berchatti II 1dorm",Departamentos,1,1,1,37610,Norte,41.895
Moderna Casa A Estrenar En El Urubo,Casas,4,3,3,431,Urubó,350.000
Hermosa Casa En Venta,Casas,4,3,2,295,Norte,175.000
"A Una Cuadra De Cine Center, Casa 756m2",Casas,4,3,0,250,Centro,756.000
A Estrenar,Casas,3,2,0,172,Norte,72.000
Zona Norte 7mo Anillo Vendo Casa,Casas,3,3,2,156,Norte,120.000
Conoce La Casa De Tus Sueños,Casas,3,3,2,244,Norte / Remanso,145.000
Vendo De Ocacion Casa Bien Ubicada En La Av. Che Guevara,Casas,5,3,1,250,Oeste,130.000
Bonita Casa En Condominio,Casas,3,2,1,352,Este,110.000
"Comoda Casa Familiar En Venta, 6to Anillo Y Av Mariscal Santa Cruz",Casas,5,3,1,200,Oeste,110.000
Vendo Bella Casa Zona Oeste,Casas,4,3,2,330,Oeste,240.000
Zona Equipetrol Departamento De Lujo,Departamentos,2,3,0,230,Norte / Equipetrol,295.000
Casa Resort En El Urubo,Casas,3,3,0,700,Urubó,210.000
Hermosa Casa Km 81/2 Norte,Casas,3,3,2,195,Norte,175.000
Casa En Venta,Casas,5,1,0,240,Sur,75.000
Norte & Asociados Vende,Casas,3,3,0,250,Sur,90.000
Casa Para Empresa En Excelente Ubicacion Cruceña,Casas,5,3,3,893,Este,430.000
Hermoso Departamento A Estenar En Edificio San Francisco Norte.,Departamentos,3,3,0,230,Norte,Consultar
Casa En Venta En Calle 21 De Mayo,Casas,3,3,1,206,Centro,300.000
Genesis II Zona Sur Santos Dumot 6to Y 7mo Anillo,Casas,3,3,2,160,Sur,100.000
"De Ocasión Propietario Vende Linda Y Amplia Casa, Zona Norte En Condominio",Casas,5,3,3,235,Norte / Remanso,138.000
Zona Norte Casa En Venta,Condominio,4,3,0,190,Norte / Remanso,160.000
Casa En Venta Cond. La Fontana La Riviera,Casas,3,3,2,160,Norte,123.000
Amplio Departamento En Venta Equipetrol Norte De Súper Oferta,Departamentos,3,3,2,157,Norte / Equipetrol,135.000
Casa En Condominio Corcega,Casas,5,3,0,210,Centro,230.000
Casa En Venta Zona Norte,Casas,3,3,2,180,Norte,100.000
Casa Totalmente Renovada Int./ext. 2 Dormitorios - Final Cumavi Urb. Los Sauses,Casas,2,1,2,322,Este,55.000
Lujosa Casa En Venta,Casas,3,3,3,220,Oeste,139.500
¡aprovecha De Esta Espaciosa Casa En Venta!,Casas,3,2,2,490,Norte,300.000
Casa De Lujo En Las Palmas,Casas,4,3,3,452,Oeste / Las palmas,390.000
Casa En Venta En Condominio Sevilla Las Terrazas II,Casas,3,3,1,231,Norte,95.000
Casa En Venta Zona Sur,Casas,3,3,2,180,Sur,175.000
Casa En Venta Zona Oeste Expocruz,Casas,4,3,2,180,Oeste,175.000
Colinas Del Urubo Condominio La Cañada,Casas,3,3,2,420,Oeste,385.000
Vendo Departamento De Lujo Zona Equipetrol,Departamentos,2,3,0,230,Norte / Equipetrol,295.000
En Venta Hermosa Casa A Estrenar 200 Mts2 $us 135.000,Casas,4,2,1,170,Norte,135.000
Hermosa Casa En Venta,Casas,5,3,0,282,Sur,103.000
Lujosa Casa En Urbanizacion Villa Bonita Urubo,Casas,4,3,3,1716,Urubó,370.000
Hermosa Casa De Lujo En Urubo,Casas,5,3,3,650,Urubó,500.000
Casa En Venta Avenida Beni 8vo Anillo,Casas,3,3,2,236,Norte / Hamacas,145.000
Casa En Venta,Casas,5,3,0,250,Sur,200.000
Amplio Departamento En Venta,Departamentos,2,2,1,176,Oeste / Urbari,140.000
Casa A Estrenar En Zona Norte - 4to Anillo,Casas,4,3,3,315,Norte,360.000
Casa De 3 Dormitorios Sevilla Terrazas II,Casas,3,2,2,165,Norte,120.000
Gran Propiedad En Ubicacion Estrategica,Casas,3,2,0,190,Norte,210.000
Departamento Av. Los Cusis (entre Beni Y Alemana),Departamentos,3,2,1,155,Norte,145.000
Departamentos En Venta Financiamiento Directo 100% Berchatti II 1 Dormitorios,Departamentos,1,1,1,3761,Norte,41.895
Hermosa Casas En Venta,Casas,3,2,2,160,Oeste,120.000
Ecohabitat Las Palmeras Pirai 5to Anillo,Casas,3,3,2,152,Oeste,125.000
Excelente Estado,Casas,5,3,0,175,Sur,115.000
Casa En Venta En Condominio Parques Del Urubo,Casas,3,3,3,440,Norte,385.000
Seminueva,Casas,3,3,0,302,Sur,294.000
Casa Zona Urubo Trejo 1.100 Mts2 135.000 $us.,Casas,3,2,0,300,Urubó,135.000
Hermosa Casa En Venta,Casas,3,3,0,223,Este,355.000
Casa En Alquiler Sevilla Los Jardines,Casas,3,2,2,220,Norte,112.000
Casa En Venta De Una Sola Planta,Casas,3,1,0,750,Centro,385.000
"Hermosa Casona En Cond De 800m2 Construidos Cerca Av Banzer, Km 8.",Casas,5,3,3,810,Norte / Remanso,650.000
Hermosa Casa De Lujo En Urubo,Casas,5,3,3,512,Urubó,580.000
Departamento En Pre Venta En La Zona Norte  Edif Tamisa 3,Departamentos,2,2,1,6671,Norte,66.990
Casa En Venta,Casas,5,2,0,240,Sur,115.000
Calle Prolongación Warnes 1027,Casas,3,2,2,300,Centro,160.000
Casa En Venta En  Santa Cruz!!! Zona Av. Piraí,Casas,3,3,2,164,Oeste,117.500
