tipo,zona,dormitorios,duchas,garajes,m2,precio
Casas,Este,3,3,2,250,120000
Casas,Sur,5,3,3,380,270000
Casas,Norte,4,3,2,266,118000
Casas,Norte,4,3,3,167,168000
Casas,Oeste,3,3,2,182,120000
Casas,Norte,3,2,0,172,76000
Casas,Norte,4,3,3,380,175000
Casas,Norte,3,2,2,180,85000
Casas,Norte,3,3,0,398,220000
Casas,Urubo,3,3,3,337,400000
Casas,Urubo,4,3,1,300,200000
Departamentos,Norte,2,3,0,230,295000
Casas,Este,4,3,3,200,155000
Casas,Este,3,2,2,207,135000
Casas,Norte,4,3,3,390,225000
Casas,Norte,4,3,2,180,108000
Casas,Norte,5,3,3,349,190000
Casas,Norte,5,3,3,300,187500
Casas,Norte,4,3,0,220,153000
Casas,Norte,3,3,0,268,240000
Casas,Sur,5,1,2,437,105000
Casas,Urubo,3,3,3,380,450000
Casas,Sur,3,3,2,200,135000
Casas,Sur,3,2,1,200,91000
Casas,Norte,3,3,2,170,159500
Casas,Oeste,3,3,0,235,210000
Departamentos,Oeste,3,3,2,163,185500
Departamentos,Oeste,4,3,1,157,169000
Casas,Norte,3,3,2,295,270000
Casas,Norte,3,3,2,240,195000
Casas,Este,3,3,3,169,79000
Casas,Centro,4,2,1,171,295000
Casas,Urubo,3,3,3,400,460000
Casas,Oeste,5,3,2,240,95000
Casas,Norte,3,3,2,178,105000
Casas,Sur,3,2,0,300,65000
Departamentos,Centro,3,3,2,160,158000
Departamentos,Centro,3,3,1,157,150830
Casas,Norte,4,3,3,250,139000
Departamentos,Oeste,3,3,0,170,145000
Casas,Urubo,3,3,2,260,219000
Casas,Norte,4,3,2,172,138000
Departamentos,Norte,3,3,0,156,145000
Casas,Norte,3,3,2,150,115000
Casas,Norte,4,3,2,312,350000
Casas,Urubo,4,3,0,485,380000
Casas,Norte,4,3,2,281,270000
Casas,Oeste,3,3,2,180,110000
Casas,Sur,4,3,3,300,420000
Casas,Oeste,3,2,1,159,122000
Casas,Centro,3,3,0,230,260000
Casas,Oeste,3,3,2,245,205000
Casas,Sur,4,3,1,286,142000
Casas,Norte,4,2,2,264,140000
Casas,Norte,4,3,2,260,260000
Casas,Norte,3,2,2,200,57000
Casas,Centro,5,2,1,250,357000
